Stn Id,Stn Name,location,date,precipitation,temperature,humidity,wind_speed
5,Shafter,San Joaquin Valley,01-01-2026,5.7,12.9,87,1.7
5,Shafter,San Joaquin Valley,01-02-2026,0,11.5,88,1.4
5,Shafter,San Joaquin Valley,01-03-2026,25.8,13.6,90,2.4
5,Shafter,San Joaquin Valley,01-04-2026,3.1,11.3,98,1.6
5,Shafter,San Joaquin Valley,01-05-2026,0.1,10.8,86,1.1
5,Shafter,San Joaquin Valley,01-06-2026,0,11,82,1.1
5,Shafter,San Joaquin Valley,01-07-2026,0,9,94,1.1
5,Shafter,San Joaquin Valley,01-08-2026,0,8.2,82,2.6
5,Shafter,San Joaquin Valley,01-09-2026,0,5.9,80,1.1
5,Shafter,San Joaquin Valley,01-10-2026,0.1,5.8,85,1.2
5,Shafter,San Joaquin Valley,01-11-2026,0,6.4,87,1
5,Shafter,San Joaquin Valley,01-12-2026,0,7.4,87,1
5,Shafter,San Joaquin Valley,01-13-2026,0,7.9,90,1.2
5,Shafter,San Joaquin Valley,01-14-2026,0.2,8.6,90,1.1
5,Shafter,San Joaquin Valley,01-15-2026,0.1,9.4,91,1.5
5,Shafter,San Joaquin Valley,01-16-2026,0.3,8.7,95,1.3
5,Shafter,San Joaquin Valley,01-17-2026,0.3,7.3,100,1.4
5,Shafter,San Joaquin Valley,01-18-2026,0.2,8.3,97,1.5
5,Shafter,San Joaquin Valley,01-19-2026,0.2,7.3,100,1.1
5,Shafter,San Joaquin Valley,01-20-2026,0.2,7.8,99,1.4
5,Shafter,San Joaquin Valley,01-21-2026,0,8.9,96,1.8
5,Shafter,San Joaquin Valley,01-22-2026,0,9.6,92,1.4
5,Shafter,San Joaquin Valley,01-23-2026,0,9.4,86,1.7
5,Shafter,San Joaquin Valley,01-24-2026,0.1,7,97,1.8
5,Shafter,San Joaquin Valley,01-25-2026,0,9.8,82,1.4
5,Shafter,San Joaquin Valley,01-26-2026,0.1,7,95,1.2
5,Shafter,San Joaquin Valley,01-27-2026,0.2,7.4,88,1.5
5,Shafter,San Joaquin Valley,01-28-2026,0,8.8,83,1.4
5,Shafter,San Joaquin Valley,01-29-2026,0,8.1,94,1.5
5,Shafter,San Joaquin Valley,01-30-2026,0.1,10,87,1.3
5,Shafter,San Joaquin Valley,01-31-2026,0.1,9.8,91,1.2
5,Shafter,San Joaquin Valley,02-01-2026,0.1,10,95,1.5
5,Shafter,San Joaquin Valley,02-02-2026,0.2,10.9,92,1.3
5,Shafter,San Joaquin Valley,02-03-2026,0,12,83,1.3
5,Shafter,San Joaquin Valley,02-04-2026,0.1,11,89,1.4
5,Shafter,San Joaquin Valley,02-05-2026,0.2,12,92,1.4
5,Shafter,San Joaquin Valley,02-06-2026,0,15.1,73,1.5
5,Shafter,San Joaquin Valley,02-07-2026,0,13.3,75,1.8
5,Shafter,San Joaquin Valley,02-08-2026,0,12.8,78,1.2
5,Shafter,San Joaquin Valley,02-09-2026,0,10.6,92,1.2
5,Shafter,San Joaquin Valley,02-10-2026,2.5,14,74,3.1
5,Shafter,San Joaquin Valley,02-11-2026,0.1,14.2,64,2.4
5,Shafter,San Joaquin Valley,02-12-2026,0,10.3,78,1.5
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,

